"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4551","Multiple login/logout cycles","chromium","Wed Dec 24 20:41:24 UTC 2025","passed","Wed Dec 24 20:41:28 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","2717","Checkbox toggle interactions","webkit","Wed Dec 24 20:41:11 UTC 2025","passed","Wed Dec 24 20:41:13 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","828","Empty password shows error","firefox","Wed Dec 24 20:41:12 UTC 2025","passed","Wed Dec 24 20:41:13 UTC 2025","Login Tests","login.spec.ts","",""
"","923","Invalid login with wrong password","firefox","Wed Dec 24 20:41:07 UTC 2025","passed","Wed Dec 24 20:41:08 UTC 2025","Login Tests","login.spec.ts","",""
"","2127","Handle broken locator scenario (self-healing demo)","webkit","Wed Dec 24 20:41:54 UTC 2025","passed","Wed Dec 24 20:41:56 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","878","Invalid login with wrong username","firefox","Wed Dec 24 20:41:08 UTC 2025","passed","Wed Dec 24 20:41:09 UTC 2025","Login Tests","login.spec.ts","",""
"","659","Login form is displayed on page load","firefox","Wed Dec 24 20:41:09 UTC 2025","passed","Wed Dec 24 20:41:10 UTC 2025","Login Tests","login.spec.ts","",""
"","1154","Login form is displayed on page load","chromium","Wed Dec 24 20:41:13 UTC 2025","passed","Wed Dec 24 20:41:14 UTC 2025","Login Tests","login.spec.ts","",""
"","1376","Navigate through multiple pages","chromium","Wed Dec 24 20:41:06 UTC 2025","passed","Wed Dec 24 20:41:08 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","2066","Complete user journey: Login → Dashboard → Logout","firefox","Wed Dec 24 20:41:13 UTC 2025","passed","Wed Dec 24 20:41:15 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1224","Login form is displayed on page load","webkit","Wed Dec 24 20:41:31 UTC 2025","passed","Wed Dec 24 20:41:32 UTC 2025","Login Tests","login.spec.ts","",""
"","1844","Handle broken locator scenario (self-healing demo)","chromium","Wed Dec 24 20:41:31 UTC 2025","passed","Wed Dec 24 20:41:33 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1628","Empty username shows error","webkit","Wed Dec 24 20:41:34 UTC 2025","passed","Wed Dec 24 20:41:36 UTC 2025","Login Tests","login.spec.ts","",""
"","802","File upload functionality","firefox","Wed Dec 24 20:40:57 UTC 2025","passed","Wed Dec 24 20:40:57 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","1625","Failed login recovery flow","firefox","Wed Dec 24 20:41:15 UTC 2025","passed","Wed Dec 24 20:41:17 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1061","Interact with form elements","chromium","Wed Dec 24 20:41:08 UTC 2025","passed","Wed Dec 24 20:41:09 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","2092","Failed login recovery flow","chromium","Wed Dec 24 20:41:22 UTC 2025","passed","Wed Dec 24 20:41:24 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","2536","Valid login with correct credentials","webkit","Wed Dec 24 20:41:25 UTC 2025","passed","Wed Dec 24 20:41:27 UTC 2025","Login Tests","login.spec.ts","",""
"","2626","Failed login recovery flow","webkit","Wed Dec 24 20:41:40 UTC 2025","passed","Wed Dec 24 20:41:43 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","2558","Complete user journey: Login → Dashboard → Logout","chromium","Wed Dec 24 20:41:19 UTC 2025","passed","Wed Dec 24 20:41:22 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","2341","Logout after successful login","webkit","Wed Dec 24 20:41:32 UTC 2025","passed","Wed Dec 24 20:41:34 UTC 2025","Login Tests","login.spec.ts","",""
"","1510","Empty password shows error","webkit","Wed Dec 24 20:41:36 UTC 2025","passed","Wed Dec 24 20:41:37 UTC 2025","Login Tests","login.spec.ts","",""
"","1155","Navigate through multiple pages","firefox","Wed Dec 24 20:41:04 UTC 2025","passed","Wed Dec 24 20:41:05 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","2094","Checkbox toggle interactions","firefox","Wed Dec 24 20:40:55 UTC 2025","passed","Wed Dec 24 20:40:57 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","1186","Valid login with correct credentials","firefox","Wed Dec 24 20:41:06 UTC 2025","passed","Wed Dec 24 20:41:07 UTC 2025","Login Tests","login.spec.ts","",""
"","2815","Complete user journey: Login → Dashboard → Logout","webkit","Wed Dec 24 20:41:37 UTC 2025","passed","Wed Dec 24 20:41:40 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","610","Interact with form elements","firefox","Wed Dec 24 20:41:05 UTC 2025","passed","Wed Dec 24 20:41:06 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","1624","File upload functionality","webkit","Wed Dec 24 20:41:13 UTC 2025","passed","Wed Dec 24 20:41:15 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","6960","Dynamic loading and waiting","chromium","Wed Dec 24 20:40:59 UTC 2025","passed","Wed Dec 24 20:41:06 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","1661","Invalid login with wrong username","webkit","Wed Dec 24 20:41:29 UTC 2025","passed","Wed Dec 24 20:41:31 UTC 2025","Login Tests","login.spec.ts","",""
"","2229","Session persistence check","firefox","Wed Dec 24 20:41:21 UTC 2025","passed","Wed Dec 24 20:41:23 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1396","Handle broken locator scenario (self-healing demo)","firefox","Wed Dec 24 20:41:23 UTC 2025","passed","Wed Dec 24 20:41:24 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1357","Empty password shows error","chromium","Wed Dec 24 20:41:18 UTC 2025","passed","Wed Dec 24 20:41:19 UTC 2025","Login Tests","login.spec.ts","",""
"","7057","Dynamic loading and waiting","webkit","Wed Dec 24 20:41:15 UTC 2025","passed","Wed Dec 24 20:41:22 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","2071","Logout after successful login","chromium","Wed Dec 24 20:41:14 UTC 2025","passed","Wed Dec 24 20:41:16 UTC 2025","Login Tests","login.spec.ts","",""
"","911","Empty username shows error","firefox","Wed Dec 24 20:41:11 UTC 2025","passed","Wed Dec 24 20:41:12 UTC 2025","Login Tests","login.spec.ts","",""
"","3253","Session persistence check","webkit","Wed Dec 24 20:41:51 UTC 2025","passed","Wed Dec 24 20:41:54 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1569","Navigate through multiple pages","webkit","Wed Dec 24 20:41:22 UTC 2025","passed","Wed Dec 24 20:41:24 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","1358","Invalid login with wrong username","chromium","Wed Dec 24 20:41:12 UTC 2025","passed","Wed Dec 24 20:41:13 UTC 2025","Login Tests","login.spec.ts","",""
"","1374","Empty username shows error","chromium","Wed Dec 24 20:41:16 UTC 2025","passed","Wed Dec 24 20:41:18 UTC 2025","Login Tests","login.spec.ts","",""
"","2519","Session persistence check","chromium","Wed Dec 24 20:41:28 UTC 2025","passed","Wed Dec 24 20:41:31 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","6564","Dynamic loading and waiting","firefox","Wed Dec 24 20:40:57 UTC 2025","passed","Wed Dec 24 20:41:04 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","1116","Interact with form elements","webkit","Wed Dec 24 20:41:24 UTC 2025","passed","Wed Dec 24 20:41:25 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","4820","Multiple login/logout cycles","webkit","Wed Dec 24 20:41:43 UTC 2025","passed","Wed Dec 24 20:41:48 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1368","Invalid login with wrong password","chromium","Wed Dec 24 20:41:10 UTC 2025","passed","Wed Dec 24 20:41:12 UTC 2025","Login Tests","login.spec.ts","",""
"","3995","Multiple login/logout cycles","firefox","Wed Dec 24 20:41:17 UTC 2025","passed","Wed Dec 24 20:41:21 UTC 2025","User Flow Tests","user-flow.spec.ts","",""
"","1633","Invalid login with wrong password","webkit","Wed Dec 24 20:41:27 UTC 2025","passed","Wed Dec 24 20:41:29 UTC 2025","Login Tests","login.spec.ts","",""
"","1201","File upload functionality","chromium","Wed Dec 24 20:40:58 UTC 2025","passed","Wed Dec 24 20:40:59 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","1389","Valid login with correct credentials","chromium","Wed Dec 24 20:41:09 UTC 2025","passed","Wed Dec 24 20:41:10 UTC 2025","Login Tests","login.spec.ts","",""
"","1436","Checkbox toggle interactions","chromium","Wed Dec 24 20:40:57 UTC 2025","passed","Wed Dec 24 20:40:58 UTC 2025","Checkout Tests","checkout.spec.ts","",""
"","1610","Logout after successful login","firefox","Wed Dec 24 20:41:10 UTC 2025","passed","Wed Dec 24 20:41:11 UTC 2025","Login Tests","login.spec.ts","",""
